federal tax,tax brackets only affect those with greater than or equal to these gross incomes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
percent,single ,head of house,married filed jointly or qualified widow ,married filed separately,,,,,,,,,,,,,,,,
10,0,0,0,0,,,,,,,,,,,,,,,,
12,9526,13601,19051,9526,,,,,,,,,,,,,,,,
22,38701,51801,77401,38701,,,,,,,,,,,,,,,,
24,82501,82501,165001,82501,,,,,,,,,,,,,,,,
32,157501,157501,315001,157501,,,,,,,,,,,,,,,,
35,200001,200001,400001,200001,,,,,,,,,,,,,,,,
37,500001,500001,600001,300001,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
state tax,tax brackets only affect those with greater than or equal to these gross incomes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
state,Single Filer,,Married Filing Jointly,,Standard Deduction,,Personal Exemption,,,,"(a) Bracket widths, personal exemption, and standard deductions amounts are 2017 tax information.",,,,,,,,,
,rates (%),bracket ($),rates (%),brackets ($),single,couple,single,couple,dependent,,"(b) For single taxpayers with AGI below $20,500, the standard deduction is $2,500. This standard deduction amount is reduced by $25 for every additional $500 of AGI, not to fall below $2,000. For Married Filing Joint taxpayers with AGI below $20,500, the standard deduction is $7,500. This standard deduction amount is reduced by $175 for every additional $500, not to fall below $4,000. For all taxpayers claiming a dependent with AGI below $20,000, the dependent exemption is $1,000. This amount is reduced to $500 per dependent for taxpayers with AGI above $20,000 and below $100,000. For taxpayers with over $100,000 AGI, the dependent exemption is $300 per dependent.",,,,,,,,,
Utah,5,0,5,0,(l),(l),NA,NA,NA,,(c) Applies to interest and dividend income only.,,,,,,,,,
,,,,,,,,,,,"(d) Rates apply to individuals earning more than $75,000. Two special tax tables exist for low and middle income individuals. One for individuals below $21,000 in income, and one for those between $21,000 and $75,000.",,,,,,,,,
,,,,,,,,,,,(e) Bracket levels adjusted for inflation each year. Release dates for tax bracket inflation adjustments vary by state and may fall after the end of the applicable tax year.,,,,,,,,,
,,,,,,,,,,,(f) These states allow some or all of federal income tax paid to be deducted from state taxable income.,,,,,,,,,
,,,,,,,,,,,"(g) Ohio's personal and dependent exemptions are $2,250 for an AGI of $40,000 or less, $2,000 if AGI is between $40,001 and $79,999, and $1,750 if AGI is $80,000 or above.",,,,,,,,,
